Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cambodia,1697719548.0,2248213235.0,2393655938.0,2433854988.0,2676189498.0,3309358175.0,3506718764.0,3443469997.0,3130079062.0,3512779768.0,3666638170.0,3991796012.0,4289399777.0,4664902232.0,5337892274.0,6293048733.0,7274499760.0,8639234979.0,10351918526.0,10401844835.0,11242273320.0,12829541170.0,14054450781.0,15268704902.0,16702616284.0,18049952743.0,20016753692.0
Cameroon,12814209727.0,12311513100.0,12548713743.0,13269957777.0,7695535477.0,9641304708.0,10327635587.0,9868794153.0,10631318098.0,10841528562.0,10046703216.0,10420713434.0,11769312477.0,14735457007.0,17065151810.0,17944080720.0,19356049159.0,22365267032.0,26409794810.0,26017930005.0,26143746334.0,29336928919.0,29104430183.0,32348196769.0,34942917203.0,30905294141.0,32643629914.0
Canada,596000000000.0,613000000000.0,594000000000.0,579000000000.0,580000000000.0,606000000000.0,631000000000.0,655000000000.0,634000000000.0,678000000000.0,745000000000.0,739000000000.0,761000000000.0,896000000000.0,1030000000000.0,1170000000000.0,1320000000000.0,1470000000000.0,1550000000000.0,1370000000000.0,1620000000000.0,1790000000000.0,1830000000000.0,1850000000000.0,1800000000000.0,1560000000000.0,1530000000000.0
Cape Verde,350332099.3,365188372.3,407654368.1,411174923.3,465192180.3,557953517.0,574164876.8,561064843.2,597834851.4,678758984.1,613244426.4,640308144.8,706213173.5,925693193.0,1051195104.0,1105394035.0,1259964147.0,1513937453.0,1789327998.0,1711815540.0,1664310632.0,1864822403.0,1751887839.0,1850952140.0,1858117905.0,1596154125.0,1663011131.0
Central African Republic,1507404494.0,1441131985.0,1477274511.0,1337974964.0,890575360.3,1167022676.0,1054441911.0,981147940.7,1012113962.0,1045744239.0,956830517.5,974966866.5,1037278986.0,1192514679.0,1328874291.0,1412805003.0,1537505026.0,1754926126.0,2033154848.0,2029423228.0,2033812521.0,2265952541.0,2236747473.0,1565488875.0,1755516840.0,1632136477.0,1811176702.0
Chad,1833674976.0,1820029492.0,1896092767.0,1654086370.0,1341885680.0,1643279935.0,1837278758.0,1754816016.0,1999335634.0,1738898463.0,1575765966.0,1944724409.0,2260466569.0,3096885404.0,5021653228.0,6680610006.0,7453132471.0,8397416116.0,10367811359.0,9424517743.0,10970626244.0,12955772652.0,14003837169.0,13807443695.0,14499375190.0,11690456723.0,10392456632.0
Chile,34918269959.0,39901837162.0,48229519317.0,51214354014.0,58636601960.0,75099063287.0,78959949109.0,86298857259.0,82716155959.0,76069319009.0,78363136969.0,71455602529.0,70098027629.0,76084220201.0,99259640125.0,123000000000.0,155000000000.0,174000000000.0,180000000000.0,172000000000.0,219000000000.0,252000000000.0,267000000000.0,278000000000.0,261000000000.0,244000000000.0,250000000000.0
China,395000000000.0,413000000000.0,493000000000.0,619000000000.0,564000000000.0,734000000000.0,864000000000.0,962000000000.0,1030000000000.0,1090000000000.0,1210000000000.0,1340000000000.0,1470000000000.0,1660000000000.0,1960000000000.0,2290000000000.0,2750000000000.0,3550000000000.0,4590000000000.0,5100000000000.0,6090000000000.0,7550000000000.0,8530000000000.0,9570000000000.0,10400000000000.0,11000000000000.0,11100000000000.0
Colombia,56386824895.0,57739746670.0,61800134580.0,71530110308.0,94407944181.0,109000000000.0,115000000000.0,126000000000.0,116000000000.0,102000000000.0,98931761983.0,97283454060.0,97037089988.0,93746862186.0,116000000000.0,145000000000.0,161000000000.0,206000000000.0,242000000000.0,232000000000.0,286000000000.0,334000000000.0,371000000000.0,382000000000.0,381000000000.0,293000000000.0,283000000000.0
Comoros,510767167.2,514319450.8,554683241.0,549205154.9,387083653.2,483213730.7,480293520.8,441916267.2,448827660.1,463803850.5,421943209.3,455580479.0,510726034.4,657330233.8,762024197.7,787335570.1,836188138.0,794626697.5,911964620.0,901710108.0,907099216.0,1021761149.0,1015892077.0,1115914322.0,1148057907.0,988164675.3,1011877232.0
Congo,3072962421.0,3147976969.0,3059881235.0,2800250047.0,1853175951.0,2207376467.0,2650418774.0,2423025021.0,2008030077.0,2455558929.0,3358967683.0,2914923249.0,3150397471.0,3646825446.0,4849373392.0,6349779926.0,8065138687.0,8771111395.0,11602897087.0,9495450889.0,13678034314.0,16443650513.0,17693915483.0,17805156699.0,18906623351.0,11091530092.0,10011786874.0
Costa Rica,7260603096.0,7168853685.0,8528604282.0,9537299960.0,10432606459.0,11507087701.0,11619448885.0,12552216526.0,13615353336.0,14195382750.0,14949664868.0,15913323117.0,16504896961.0,17195913957.0,18528748361.0,19952164068.0,22600477899.0,26743862568.0,30612918376.0,30562356669.0,37268578243.0,42262694504.0,46473161538.0,49745126831.0,50577706529.0,54776008855.0,57157890875.0
Cote d'Ivoire,11892834267.0,11531089450.0,12032862336.0,11152603588.0,8314050721.0,11104913313.0,12139146708.0,11722143261.0,12640877308.0,12561330037.0,10681535710.0,11192563448.0,12346980846.0,15306598754.0,16554517272.0,17084927540.0,17800887469.0,20341870862.0,24224905504.0,24277494337.0,24884503951.0,25669753852.0,26787285216.0,31271296916.0,35316493014.0,33119363299.0,35320956245.0
Croatia,16632189425.0,13568539217.0,12252234380.0,12988506121.0,17375902276.0,22417631201.0,23710453762.0,23854890205.0,25467097573.0,23400388738.0,21669247338.0,23179670494.0,26815798092.0,34686822754.0,41594096166.0,45386551200.0,50437737926.0,60171367223.0,70259900043.0,62599144330.0,59807817157.0,62354574724.0,56494398941.0,58057078239.0,57643302618.0,49530625299.0,51597108133.0
Cuba,28645090341.0,24317573785.0,22085591300.0,22366999068.0,28447983027.0,30428127164.0,25016981705.0,25364495384.0,25736732641.0,28364907677.0,30565780770.0,31682325540.0,33590538990.0,35901106394.0,38203413583.0,42643615147.0,52742667215.0,58603773956.0,60806321645.0,62080011059.0,64328005730.0,69511335013.0,73141051979.0,77147993162.0,80656035667.0,87205640591.0,91370032243.0
Cyprus,8280704891.0,8504291660.0,10151206770.0,9661956722.0,10893490917.0,13057686049.0,13235775171.0,12677131773.0,13706098155.0,14152792386.0,13549381545.0,14227071222.0,15672318684.0,20109926612.0,24020665482.0,26011477678.0,28408854914.0,33350652491.0,38286122385.0,35256695404.0,34483417580.0,36392202060.0,32816936705.0,31707954802.0,31218579047.0,27078131841.0,28686244204.0
Czech Republic,40559739237.0,29554981891.0,34563824921.0,40485222700.0,47430814892.0,59629742998.0,66799005201.0,61617977447.0,66335074683.0,64761715003.0,61577284468.0,67268030754.0,81502877975.0,99174820189.0,119000000000.0,135000000000.0,154000000000.0,187000000000.0,234000000000.0,205000000000.0,206000000000.0,226000000000.0,206000000000.0,208000000000.0,206000000000.0,186000000000.0,194000000000.0
Democratic Republic of the Congo,14828706828.0,14188129125.0,13009464119.0,16975079012.0,9205583251.0,8946579641.0,9155409422.0,9419104879.0,9853196860.0,8765570000.0,8342257459.0,8346164838.0,8728022948.0,8937649203.0,10297492947.0,11964556346.0,14451862256.0,16737111572.0,19788571874.0,18648386888.0,21565746173.0,25839721690.0,29306270490.0,32671705612.0,35909052441.0,37917672470.0,40337512405.0
Denmark,138000000000.0,139000000000.0,153000000000.0,143000000000.0,156000000000.0,185000000000.0,188000000000.0,174000000000.0,177000000000.0,178000000000.0,164000000000.0,165000000000.0,179000000000.0,218000000000.0,251000000000.0,264000000000.0,283000000000.0,319000000000.0,353000000000.0,321000000000.0,322000000000.0,344000000000.0,327000000000.0,344000000000.0,353000000000.0,303000000000.0,313000000000.0
Djibouti,456910057.3,466272772.8,481588238.7,482170632.2,510875519.7,509628963.2,496467016.2,491151521.7,497752994.9,525071290.4,546364321.9,569564517.7,590026649.3,623229426.6,663909331.6,708627766.3,768634278.9,847924192.7,976207862.7,1093906652.0,1243645784.0,1453789346.0,1705187933.0,2042824101.0,2216229987.0,2445497961.0,2618601849.0
Dominica,198202891.3,210181806.9,227262445.6,237474592.9,255346726.8,259740446.0,279972821.2,290371677.5,307466085.9,317244351.9,321362592.6,328127467.1,323614271.3,337264066.5,374789586.5,370367587.4,397788888.9,428715814.8,469068800.7,498908503.8,493818958.7,501371718.7,485280322.5,509280772.4,523377505.8,540768847.7,575470370.4
Dominican Republic,9522414423.0,9867170928.0,11443284710.0,12984344334.0,14097479998.0,15747387806.0,17078586968.0,19653241406.0,20872309714.0,21862315541.0,23959938066.0,25208154205.0,25654735338.0,20389120903.0,22233034287.0,35510420995.0,37932599060.0,43780673084.0,47657848327.0,48071063081.0,53159547667.0,57811290166.0,60657847548.0,62661670356.0,66065065489.0,68802062093.0,72342978793.0
Ecuador,15231968534.0,16980042621.0,18085194375.0,18929237639.0,22697314950.0,24420670132.0,25213769228.0,28147983776.0,27967906000.0,19635440531.0,18318601000.0,24468310738.0,28548945000.0,32432859000.0,36591666383.0,41507060983.0,46802083356.0,51007766296.0,61762639249.0,62519635221.0,69555353099.0,79276669201.0,87924532636.0,95129652944.0,102000000000.0,99290393249.0,99937696000.0
Egypt,35995026873.0,39199916210.0,45789043886.0,50619964315.0,56527978531.0,65758026939.0,73961367544.0,81571754785.0,87146284960.0,91906116309.0,95683644418.0,90724342137.0,86521731349.0,74076440681.0,79187405118.0,94456330561.0,108000000000.0,132000000000.0,165000000000.0,188000000000.0,215000000000.0,231000000000.0,277000000000.0,271000000000.0,301000000000.0,318000000000.0,270000000000.0
El Salvador,4817537633.0,5252334487.0,5813403620.0,6680270369.0,7679379877.0,8921950281.0,9586336186.0,10221712995.0,10936668025.0,11284173787.0,11784915660.0,12282523239.0,12664196643.0,13243887750.0,13724820031.0,14698003849.0,15999875856.0,17011750854.0,17986895043.0,17601593142.0,18447928402.0,20283780395.0,21386149590.0,21990983108.0,22593458040.0,23438226823.0,24154089173.0
Equatorial Guinea,169733334.8,171487147.0,202463899.5,199765224.2,165118775.5,215327909.7,340191832.9,653626948.4,548046314.2,917086091.2,1510816725.0,2207687661.0,2716657469.0,3697947979.0,5620779669.0,8519586143.0,10086510449.0,13071701614.0,19749879253.0,15027630906.0,16298552533.0,21329528205.0,22389603208.0,21942533211.0,21736522396.0,13175599576.0,11262322399.0
Eritrea,332357863.9,383949540.4,437076636.0,505072615.8,630768678.5,639725170.8,748456471.6,782070451.5,809311524.4,793703282.5,706369887.9,752371365.3,729321962.8,870247957.7,1109056449.0,1098422377.0,1211163540.0,1317976253.0,1380190152.0,1856695550.0,2117040846.0,2607794316.0,3060537857.0,3515618094.0,3963929136.0,4442127537.0,5012687504.0
Estonia,5652516941.0,5376190165.0,4334697391.0,4182672605.0,4186893267.0,4470693611.0,4777276325.0,5147697416.0,5661920633.0,5768977480.0,5698300026.0,6259565654.0,7372574189.0,9877755630.0,12144393271.0,14095708094.0,17021211160.0,22440762521.0,24342683921.0,19752939342.0,19696797702.0,23394702565.0,23192779352.0,25271522190.0,26773391601.0,23048951859.0,23996396816.0
Ethiopia,11207790557.0,12786207383.0,10229799962.0,7382765345.0,7147529413.0,7586836553.0,8235652963.0,8521562903.0,7726621812.0,7328478224.0,8030203199.0,7963475732.0,7691050633.0,8454148154.0,9935634937.0,12163584857.0,14983303187.0,18991962865.0,25608606096.0,28194203250.0,26311296602.0,30479431520.0,42210508227.0,46542002832.0,54163012786.0,63078654628.0,72157652625.0
Fiji,1339090645.0,1386020324.0,1535318548.0,1639606180.0,1828485153.0,1993370737.0,2114256442.0,2123496140.0,1680273244.0,1969382695.0,1707951144.0,1682424531.0,1867106046.0,2344815086.0,2761524074.0,2980610067.0,3076273590.0,3378267264.0,3523145780.0,2870567828.0,3140520156.0,3774781037.0,3972009300.0,4189834675.0,4857059001.0,4682521972.0,4930283708.0
Finland,141000000000.0,128000000000.0,113000000000.0,89210417332.0,103000000000.0,134000000000.0,132000000000.0,127000000000.0,134000000000.0,135000000000.0,126000000000.0,129000000000.0,140000000000.0,171000000000.0,197000000000.0,205000000000.0,217000000000.0,256000000000.0,285000000000.0,252000000000.0,249000000000.0,275000000000.0,258000000000.0,271000000000.0,274000000000.0,235000000000.0,241000000000.0
France,1230000000000.0,1230000000000.0,1360000000000.0,1290000000000.0,1350000000000.0,1560000000000.0,1560000000000.0,1410000000000.0,1460000000000.0,1450000000000.0,1320000000000.0,1330000000000.0,1450000000000.0,1780000000000.0,2050000000000.0,2130000000000.0,2250000000000.0,2570000000000.0,2830000000000.0,2600000000000.0,2560000000000.0,2770000000000.0,2600000000000.0,2720000000000.0,2760000000000.0,2360000000000.0,2390000000000.0
Gabon,6039523389.0,6013438706.0,6224441863.0,6016896782.0,4664428666.0,5519202839.0,6337383440.0,5951579777.0,5014553027.0,5162441990.0,5676778872.0,5181634945.0,5403292860.0,6557256935.0,7844095647.0,9578979702.0,10318366555.0,12438872738.0,15508555934.0,12065130263.0,14358684054.0,18186449884.0,17171418191.0,17590669902.0,18179678263.0,14372319895.0,14023892180.0
Gambia,1176049244.0,1147244468.0,1187039732.0,1254821880.0,1240626542.0,1306276888.0,1409712121.0,1335575690.0,1396491805.0,1353996162.0,1301150776.0,1142421000.0,960987208.9,809425088.1,961898713.5,1027703718.0,1054111824.0,1279701471.0,1561769728.0,1450140830.0,1543297527.0,1409689779.0,1415009943.0,1375606657.0,1229458695.0,1378176606.0,1467253434.0
Georgia,8877931927.0,7220163439.0,4098308404.0,2966545891.0,2715356046.0,2843746451.0,3222641088.0,3693006830.0,3801320043.0,2945570280.0,3216915089.0,3386805624.0,3572286999.0,4198840425.0,5392186109.0,6744149020.0,8147845935.0,10701673633.0,13460161732.0,11326526105.0,12243193132.0,15107478363.0,16488799613.0,17190037477.0,17627385746.0,14953671712.0,15141632661.0
Germany,1770000000000.0,1870000000000.0,2130000000000.0,2070000000000.0,2210000000000.0,2590000000000.0,2500000000000.0,2210000000000.0,2240000000000.0,2190000000000.0,1940000000000.0,1940000000000.0,2070000000000.0,2500000000000.0,2810000000000.0,2850000000000.0,2990000000000.0,3420000000000.0,3730000000000.0,3400000000000.0,3400000000000.0,3740000000000.0,3530000000000.0,3730000000000.0,3880000000000.0,3360000000000.0,3470000000000.0
Ghana,13213506003.0,14856378737.0,14609784309.0,12662619979.0,11553355992.0,13713931667.0,14707015796.0,14618186353.0,15871067944.0,16371926341.0,10569784657.0,11274086150.0,13079942811.0,16190792290.0,18839571544.0,22764839763.0,27016175774.0,32770285942.0,37761142162.0,34385609975.0,42587410210.0,52369942399.0,55512778519.0,63278826538.0,53601602562.0,49181516057.0,55009734452.0
Greece,97892914156.0,105000000000.0,116000000000.0,109000000000.0,117000000000.0,137000000000.0,146000000000.0,143000000000.0,144000000000.0,149000000000.0,132000000000.0,136000000000.0,154000000000.0,202000000000.0,241000000000.0,248000000000.0,273000000000.0,318000000000.0,354000000000.0,330000000000.0,299000000000.0,288000000000.0,246000000000.0,240000000000.0,237000000000.0,197000000000.0,195000000000.0
