,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Country Name
Bahamas,0.08600649089130509,0.19486717281475113,0.31721701708077576,-0.3769063594083921,-0.5615769245885116,-0.2354139597042972,-0.5219389801092496,-0.5947285176657079,-0.3892792924398864,-1.1726228352804375,-2.7285320005679266,-0.6301914267146158,1.1659328244407166,-4.815658035515724,-0.03238837823407672,0.22440199810044922,0.19550493509320438,-0.09940323435649942,0.02356666260555337,1.5389830759604106,0.6276830014059234,-0.2049811967385032,0.42726853184779534,-0.3760028677701285,-0.1173111460189057,-1.0620102799775546,Bahamas
Bahrain,-1.1867019586024412,-1.9202922021558468,-0.5050683610460406,-0.6227894096295923,-0.9262700894881745,-2.048890151924688,-3.0665008645254637,0.313293651451158,-0.48331679211169887,-0.14753769934451466,0.4065061782553978,-1.7651934049342397,-0.30516639383478944,-0.2568944809198961,-0.23271533456786375,-0.39914612198084465,-0.3231215109305137,-0.24469495349307452,0.12205300176571016,-0.21280084775416724,-0.13358334027654822,-0.19387503109125162,-0.20491596978028007,-0.9628117478753525,0.11500459256565923,4.424087776074092,Bahrain
Bangladesh,-0.9095219701350648,21.7196986310607,-3.6645822141211246,-0.8958709386804516,-0.3433536912206029,-1.1309833376073533,-2.439567496748575,-2.01056164334225,-1.0890727863800742,8.163749595096615,1.6034170736426399,-1.592126995991442,-0.42672261809183837,-0.5023562115768009,-2.232376297276929,-0.16338827814734064,-0.24516994591838237,-0.2143973523947637,-0.2602837800930594,-0.21611081006387578,-0.31738538418002754,-0.5953685255966635,-0.09338083175410482,-0.1349310455985561,-0.1329477042897916,-0.11274821389392392,Bangladesh
Barbados,0.3444047967783291,0.06225914875989195,-0.011380665752283818,0.012228972710625577,0.0122413856299879,0.02801329046195945,0.03297785892768856,0.01407945899789585,0.03960575184766504,0.043380694305520044,-0.22212525819726686,0.12681560362383382,0.05755665920095178,0.024669675716556604,0.021748590950036027,0.033848390072795526,0.027431015948268325,0.11795117669948682,-0.03998136534600725,0.21034504229042786,0.08949420320316834,-0.13221777277885893,0.13484328913077565,0.7564404228510473,0.5019876145231826,0.024529175045431773,Barbados
Belarus,-3.04794378530661,0.30181055920812205,1.5397087143308439,0.5801632398125876,0.999123275795376,-1.0100359405031876,2.6168981582063084,0.47603309088423285,-0.038670727951132015,-0.03895736077135566,-0.12182474350503261,-0.1890071869839797,-0.028079855130462492,0.0026466489907716,0.04924877909264128,0.28910948849765095,0.3066300711601625,0.1194138350015131,-0.07494182630098309,-0.07858392040337013,0.17622822856412,1.0943445996348695,0.19880275282528692,0.39413911589501704,-0.05807642142553428,-0.03363336161311443,Belarus
Belgium,1.1295848052370998,-0.05423128079302724,0.518495566579315,-0.361944283658591,0.0,-0.5871007427999334,-0.06533909823074577,0.0,-3.9349941036670413,-0.3531118987530462,-0.0,-0.14532920922377704,0.05323951722854662,0.19378012309090234,0.5883655170830026,0.44827661324478785,0.07685648248088152,0.18879407120970462,0.07422230927322374,-1.366009210731069,-0.33907650206394263,0.1946779819389309,-0.49831164669897543,-0.3031651923930611,0.16332071550798347,0.0,Belgium
Belize,-0.33895020706167267,-0.2574702670520801,-0.2833714269836709,-1.1915876507543188,-0.5425327721728084,-13.244093773891079,1.5619418619325784,-1.9705322309091382,-1.0908829710885841,-0.2857523503416304,-2.430853095150622,-0.8511016356456389,-0.900528171759616,-0.7832737323861252,-1.5265757591020535,-0.4435271219344177,-1.1890299298819096,-0.6971345913475263,0.42297878482245066,-0.8453483089840274,-0.40178259876059835,-0.6843130208351431,-0.8673085099429239,-0.40864956792994633,-0.8827252061749903,-1.5022377319993636,Belize
Benin,0.49304934823757335,-0.12065159492016263,0.5302920480584914,0.038179919483222,-0.03210440311231415,-0.2362936543941909,0.19439360293510774,-0.25724239977177793,0.83184931215801,0.17263380653150365,-1.0076695085489737,-0.1110463048795192,-0.04720731164645348,-0.08867997075105549,-0.3287300919812128,-0.24904942976387398,-0.07555182715929482,-0.05938230048819173,0.29764876655794686,0.22123657300456281,-0.11802269120676483,-1.0997331956007854,-0.13120972584395105,-0.5749306918004193,0.0954880910138663,1.0930399091083849,Benin
Bhutan,0.23956523414781625,-5.7285729891597805,0.7344662873157302,-0.23409019849320886,-0.3831295863283568,-0.9801402176814022,-0.3105439118060125,4.219991213736271,-0.5648008188284419,-0.7553548608296855,-0.8392474021824483,-0.481105215363525,-0.35043214582459836,-0.39578735844544927,-0.2686470692849678,-0.443590002445859,-0.10832782520570991,-0.8216587717198631,6.9565436477828575,-0.13840445993050365,-0.23917990249473725,3.0187495438850958,1.0178687950689553,-0.2966089030127544,-0.5085126997265383,-0.2593457289114355,Bhutan
Bolivia,-0.2104256819650909,-0.46116882580602403,3.2385069992835818,-0.7888914781912469,-0.1791884780868076,-0.2380037310663527,-0.39279921838433685,-0.4070987891735697,0.499197400496041,3.8686635535189757,0.4798304717798394,0.5045374259422765,-6.562797021818215,-0.36180791025519365,-0.3452877928976182,-0.13250877289290533,-0.18746728520058134,-0.09236100287128302,-0.9981554059066138,-0.19179606332467283,-0.10318370617880647,-0.17613829744927068,-0.1566322660571621,-0.2830556245529576,1.0185484740445814,-1.0985258931515387,Bolivia
