,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bahamas,-0.03524677353880795,-0.019504753566541574,-0.024055062950239826,0.035702138213994365,0.03608589137091962,0.1199667415634758,0.06744585300464025,0.06705783182895465,0.11124492806499243,0.03702640998495418,0.014334279499212723,0.050235991978391285,-0.018693647393246932,0.0024235706620116385,0.0662915134350176,0.01438285628649085,0.024683454988565928,-0.026841074790818997,-0.0677479861983888,-0.00381000904897526,-0.01537635161253871,0.052826164070449724,-0.024339639707902965,0.023535877730417015,0.06659639995965051,0.005825486603857005
Bahrain,0.03003089992527206,0.018520845318792563,0.06788005473343833,0.05173429398051358,0.032281465945540315,0.01318267386176926,0.007987538887937327,-0.07266446755461893,0.04465546028030769,0.14476668344605728,-0.05632886638680196,0.014105708878440218,0.08982867381839658,0.11422444436546379,0.13332276981620958,0.07507816718545554,0.08643991735083716,0.0996327274043962,-0.16086529326773685,0.07058469284603494,0.0864829416444814,0.050639175937182514,0.04608167261340052,0.009901092800582562,-0.09205808870279293,-0.0025286049902795327
Bangladesh,0.04403786368507165,-0.0017929795904423323,0.010267644680002673,0.04028507233091845,0.10071650353428664,0.02881404396096885,0.012895235474862694,0.015297200391452314,0.027775104381065726,-0.0037459551397460264,-0.019477330274850414,0.020043268898860236,0.07645944867955654,0.06506196793070271,0.014813691600583738,0.19794570211321216,0.12692396174796475,0.1350076444475162,0.10197118498303993,0.10869392826283494,0.0663171998925344,0.031691168943458664,0.1772034556927426,0.11458870250271906,0.11117604881447139,0.12058616172988153
Barbados,-0.011680988602305683,-0.03707304429966045,0.05082031332882536,0.04732234811522159,0.04724702063177622,0.06190290457301547,0.05249286009809607,0.12273984386308236,0.04355754667501649,0.02646581951021182,-0.005162803186512175,0.013548908882821314,0.02980134514445265,0.06941026654736396,0.10479769859290612,0.06718249595545651,0.10338934867469732,0.019181185828084008,-0.0705746390718403,0.010701392252186198,0.02509580702260516,-0.012711394493981064,0.012442979994102557,0.0022143738296450106,0.0022208261111036636,0.022699209085503217
Belarus,0.01852259507334667,-0.07526138747445088,-0.051913697730712666,-0.09558148682879015,-0.08291679170098071,0.049996108318860935,-0.024330489050693547,0.08402777194690378,-0.1989180990341952,-0.1371630763629795,0.19321481043694982,0.18925115757601862,0.22975947964299737,0.3066852894050617,0.3128924297820433,0.22930388780027428,0.2296317016537764,0.3457523469986709,-0.18831811182617597,0.1264935345788162,0.07976148324321394,0.06333190725864034,0.1490403387707051,0.04259047140065277,-0.2842708547983212,-0.1552154581947937
Belgium,0.02185879086741834,0.11108158054634622,-0.046755316351804785,0.08580298687742767,0.17262794777291615,-0.032755484414916713,-0.09625642756638408,0.02167245845297009,-0.0031766248361976444,-0.08740628010513289,-0.0021717952507501127,0.08240633777722538,0.22767321629116563,0.15450562876582624,0.039526133463405576,0.05069921574262942,0.14456960236080374,0.08730950277144715,-0.07282723292140213,-0.007957168320683631,0.07927921948728321,-0.05675898037802912,0.04484416301147184,0.01884875261958506,-0.14075682729912317,0.024061136314874564
Belize,0.047120803294897484,0.0639152127954049,0.06228012205471935,0.016643350731856767,0.04036539145649282,0.0018191847480333923,-0.016285118926311258,0.013375164340059188,0.024573518722703133,0.09734052885611348,0.01188425945875552,0.03562484768311165,0.03537746855536489,0.041622833192754116,0.02125079262425323,0.06972398673567339,0.02373054239463844,0.03569993538915022,-0.0494459061592066,0.020129755294085394,0.035752272319132826,0.018566840401844902,0.013965084162388874,0.030002567873922806,0.014940683849207334,0.008896581139941436
Benin,-0.020149619620003695,0.09185806150190257,-0.02199045995208008,-0.32107604842832094,0.39624058058554823,0.054529513432307455,-0.06796701411162483,0.05079498426607783,-0.01571939591877933,-0.0729112656081665,0.012151020991848598,0.1055123812885366,0.24022139346753257,0.12346536671989922,0.03153726045317652,0.03992453155828965,0.12818169875731872,0.16163017718174683,-0.03255846031889867,-0.0450669514859349,0.09007049150127575,0.010112983273001704,0.09152636933883565,0.022148648620482176,-0.1412161810932512,-0.012867760921632065
Bhutan,-0.15397047414414894,0.006910543517863145,-0.05559940636594223,0.17674885647236213,0.10829993881862403,0.04372235162612622,0.14417518930686837,-0.011332484159561503,0.08892495527963744,0.06861472518516455,0.06215600047797033,0.10465753944937049,0.1363474168921625,0.11042157606001358,0.14743251145296113,0.08184575124922684,0.31738713500529125,0.04149034887019034,-0.004848023947470974,0.24044904908361373,0.13515256223913552,-0.00991633245584368,-0.025923188156675506,0.07588456838816167,0.03881287943423461,0.06469558438597799
Bolivia,0.07477010952446721,0.034211885028958555,-0.005015057650805506,0.021470951198068536,0.0998077882105852,0.0793109612239757,0.05013291137133544,0.051045153606231845,-0.04392809409231159,-0.005795397629467444,-0.04882530020273931,-0.0470477956972997,0.0036654907384828634,0.065929175805638,0.06919898565772346,0.17843309098914015,0.12613786784943662,0.249588371244209,0.02274206936112796,0.11473066544801849,0.19988621036987314,0.11231529528108027,0.11430368904194711,0.059720450728767506,-0.014895657044462583,0.013400672715577253
