Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Croatia,3482.181955,2850.531652,2588.755815,2764.960898,3730.495572,4855.703271,5182.739722,5263.185926,5669.552652,5250.908176,4893.604408,5258.458854,6100.319826,7903.290488,9487.970617,10366.80379,11539.75145,13793.09435,16141.9084,14419.57632,13818.29131,14457.02711,13150.86632,13575.54442,13545.54313,11701.41736,12259.89005
Cuba,2703.135622,2278.305741,2057.078732,2073.070004,2624.725321,2794.584836,2286.893678,2308.018066,2331.499058,2558.930487,2747.134526,2837.729061,2999.245244,3197.124849,3395.747605,3786.64383,4683.557275,5208.707185,5411.271418,5529.67036,5730.354775,6186.114643,6497.319382,6837.711074,7133.340833,7700.428944,8060.799442
Cyprus,10801.63327,10859.48616,12679.34046,11800.86317,13013.30649,15265.16651,15153.85982,14224.94841,15083.02776,15282.98436,14363.99227,14815.63723,16041.79327,20240.23323,23773.18661,25311.4392,27172.29798,31353.20266,35398.71962,32107.32045,30993.07091,32353.31169,28912.42884,27719.99063,27092.4762,23323.37213,24514.19745
Czech Republic,3914.238562,2868.132855,3351.628028,3920.822265,4589.776972,5770.716531,6471.928966,5977.025763,6440.845672,6293.887307,5991.11669,6574.262436,7989.552385,9730.033889,11637.59111,13285.08252,15095.61595,18269.531,22610.36286,19658.36529,19691.31149,21572.70458,19598.40135,19780.07767,19621.96313,17623.14349,18372.05948
Democratic Republic of the Congo,428.4264698,395.1217755,348.4623691,437.3235678,228.6932395,215.1849453,214.1253453,214.9146917,219.6923993,190.8894572,177.0960719,172.3398201,175.0096387,173.7977225,194.040181,218.387535,255.4323325,286.3311526,327.5646488,298.619909,334.0219824,387.0820649,424.600876,457.8510819,486.7872602,497.3166137,511.968008
Denmark,26890.70209,27008.36546,29567.8903,27586.5652,29966.12737,35356.11074,35706.62533,32881.42548,33392.19641,33440.76697,30734.30838,30755.72284,33247.99108,40486.01735,46527.10991,48779.30714,51960.15484,58396.33173,64273.61534,58128.99736,57966.58742,61616.43655,58305.92686,60939.26027,62320.16569,53206.05833,54823.45711
Djibouti,773.9083244,768.3581631,783.0066478,779.5756085,820.8629028,808.4408151,771.3319157,743.2028086,731.4894886,750.1307771,761.4016641,777.0119434,789.9176906,820.4284227,860.4331157,904.7297489,967.3782763,1052.725652,1195.804139,1321.430567,1480.188842,1702.985513,1964.194474,2312.728803,2466.020613,2675.605375,2818.376856
Dominica,2814.502446,2986.512738,3221.47883,3353.308381,3594.205377,3652.913944,3947.003809,4113.379384,4380.919681,4543.225524,4613.964,4709.670696,4633.652224,4811.04771,5324.698971,5247.486362,5625.001964,6055.564711,6622.552918,7041.956072,6967.266654,7070.336736,6839.365258,7171.049612,7362.078263,7597.735831,8070.320871
Dominican Republic,1334.888405,1357.16787,1544.649173,1720.58585,1834.723786,2013.928441,2147.502764,2431.005936,2540.933131,2620.347702,2828.360462,2931.658309,2940.379574,2303.77295,2477.371778,3903.418522,4114.753408,4688.012438,5038.850736,5019.566487,5483.125956,5891.164781,6107.981132,6236.092854,6499.152252,6691.717263,6957.568924
Ecuador,1488.815488,1621.397139,1687.660815,1726.890181,2025.099659,2131.840515,2154.439471,2355.192658,2292.74279,1578.14407,1444.556685,1894.615169,2172.101877,2425.851917,2691.278081,3002.136867,3328.886956,3567.836438,4249.019262,4231.615798,4633.590358,5200.555449,5682.045374,6056.330827,6377.090731,6124.491643,6060.092962
Egypt,641.2284955,682.6333832,780.4931327,845.3475245,925.2350379,1054.929903,1162.884744,1257.033481,1316.403988,1361.257673,1390.112951,1293.241618,1210.347319,1017.168826,1067.617527,1250.68668,1401.539876,1689.39991,2069.966233,2316.59466,2593.368405,2733.968454,3199.827727,3062.989012,3328.175342,3437.21123,2861.438937
El Salvador,914.1309274,983.1800229,1073.31105,1216.701054,1380.707633,1585.109461,1684.785979,1778.837572,1886.359642,1930.623485,2001.538004,2072.299842,2124.102884,2209.496503,2278.431846,2428.569515,2631.820412,2786.157914,2933.395063,2858.478982,2983.230165,3266.011041,3428.409267,3509.530224,3589.040985,3705.57762,3800.120918
